cell_type,count,percentage,proportional_sample,sqrt_sample,stratified_sample
mature NK T cell,175,0.019111292152685026,19,159,116
CD4-positive helper T cell,167,0.018237633082847995,18,155,116
muscle cell,131,0.014306167268581365,14,138,112
group 3 innate lymphoid cell,123,0.013432508198744333,13,133,111
myeloid dendritic cell,108,0.011794397442799903,11,125,110
thymocyte,95,0.01037470145431473,10,117,95
fibroblast,94,0.0102654940705851,10,116,94
mature alpha-beta T cell,87,0.0095010423844777,9,112,87
chondrocyte,84,0.009173420233288813,9,110,84
myofibroblast cell,78,0.00851817593091104,8,106,78
proerythroblast,69,0.007535309477344382,7,100,69
endosteal cell,54,0.005897198721399951,5,88,54
mesenchymal stem cell,53,0.005787991337670322,5,87,53
immature alpha-beta T cell,49,0.005351161802751808,5,84,49
pre-natural killer cell,39,0.00425908796545552,4,75,39
macrophage dendritic cell progenitor,31,0.0033854288956184906,3,67,31
group 1 innate lymphoid cell,30,0.003276221511888862,3,66,30
germinal center B cell,29,0.003167014128159233,3,64,29
platelet,26,0.0028393919769703468,2,61,26
immature natural killer cell,26,0.0028393919769703468,2,61,26
erythroblast,25,0.0027301845932407184,2,60,25
cord blood hematopoietic stem cell,23,0.0025117698257814606,2,57,23
alveolar macrophage,19,0.0020749402908629457,2,52,19
Schwann cell,9,0.0009828664535666584,0,36,9
primordial germ cell,1,0.00010920738372962872,0,12,1
luminal adaptive secretory precursor cell of mammary gland,0,0.0,0,0,0
lamp5 GABAergic cortical interneuron,0,0.0,0,0,0
luminal hormone-sensing cell of mammary gland,0,0.0,0,0,0
kidney loop of Henle thin descending limb epithelial cell,0,0.0,0,0,0
natural T-regulatory cell,0,0.0,0,0,0
nasal mucosa goblet cell,0,0.0,0,0,0
kidney outer medulla collecting duct intercalated cell,0,0.0,0,0,0
kidney pelvis urothelial cell,0,0.0,0,0,0
naive regulatory T cell,0,0.0,0,0,0
kidney proximal convoluted tubule epithelial cell,0,0.0,0,0,0
luminal epithelial cell of mammary gland,0,0.0,0,0,0
kidney resident macrophage,0,0.0,0,0,0
lactocyte,0,0.0,0,0,0
naive T cell,0,0.0,0,0,0
myometrial cell,0,0.0,0,0,0
myoblast,0,0.0,0,0,0
large intestine goblet cell,0,0.0,0,0,0
lateral mesodermal cell,0,0.0,0,0,0
lens epithelial cell,0,0.0,0,0,0
lens fiber cell,0,0.0,0,0,0
