cell_type,count,percentage,k562_relevance,weighted_count,k562_weighted,k562_weighted_sqrt,k562_hybrid,proportional_sample,sqrt_sample
smooth muscle cell of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of sphincter of pupil,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of the brain vasculature,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of the pulmonary artery,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle fiber of ileum,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle myoblast,0,0.0,0.5,0.0,0,0,0,0,0
syncytiotrophoblast cell,0,0.0,1.5,0.0,0,0,0,0,0
taste receptor cell,0,0.0,0.5,0.0,0,0,0,0,0
tendon cell,0,0.0,0.5,0.0,0,0,0,0,0
urothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
type I NK T cell,0,0.0,1.5,0.0,0,0,0,0,0
type I enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type I muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
type II NK T cell,0,0.0,1.5,0.0,0,0,0,0,0
type II muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
type L enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type N enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type X enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
umbrella cell of urothelium,0,0.0,0.5,0.0,0,0,0,0,0
unipolar brush cell,0,0.0,0.5,0.0,0,0,0,0,0
uterine smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
type EC enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
vasa recta ascending limb cell,0,0.0,1.5,0.0,0,0,0,0,0
vasa recta cell,0,0.0,0.5,0.0,0,0,0,0,0
vasa recta descending limb cell,0,0.0,1.5,0.0,0,0,0,0,0
vascular associated smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
vascular leptomeningeal cell,0,0.0,0.5,0.0,0,0,0,0,0
vascular lymphangioblast,0,0.0,0.5,0.0,0,0,0,0,0
vein endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
vein endothelial cell of respiratory system,0,0.0,0.5,0.0,0,0,0,0,0
ventricular cardiac muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
vestibular dark cell,0,0.0,0.5,0.0,0,0,0,0,0
type G enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type D enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
thalamic excitatory neuron,0,0.0,0.5,0.0,0,0,0,0,0
tracheobronchial goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
theca cell,0,0.0,0.5,0.0,0,0,0,0,0
thymic fibroblast type 1,0,0.0,0.5,0.0,0,0,0,0,0
thymic fibroblast type 2,0,0.0,0.5,0.0,0,0,0,0,0
thyroid follicular cell,0,0.0,0.5,0.0,0,0,0,0,0
tip cell,0,0.0,0.5,0.0,0,0,0,0,0
tissue-resident macrophage,0,0.0,3.0,0.0,0,0,0,0,0
tongue muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
tonsil germinal center B cell,0,0.0,1.5,0.0,0,0,0,0,0
trabecular meshwork cell,0,0.0,0.5,0.0,0,0,0,0,0
tracheal goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
tracheobronchial serous cell,0,0.0,0.5,0.0,0,0,0,0,0
type B pancreatic cell,0,0.0,0.5,0.0,0,0,0,0,0
tracheobronchial smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
transit amplifying cell,0,0.0,0.5,0.0,0,0,0,0,0
transit amplifying cell of colon,0,0.0,0.5,0.0,0,0,0,0,0
transit amplifying cell of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
transitional stage B cell,0,0.0,1.5,0.0,0,0,0,0,0
trophoblast giant cell,0,0.0,1.5,0.0,0,0,0,0,0
tuft cell,0,0.0,1.5,0.0,0,0,0,0,0
tuft cell of colon,0,0.0,1.5,0.0,0,0,0,0,0
tuft cell of small intestine,0,0.0,1.5,0.0,0,0,0,0,0
type A enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
serotonergic neuron,0,0.0,0.5,0.0,0,0,0,0,0
seromucus secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
sensory neuron of dorsal root ganglion,0,0.0,0.5,0.0,0,0,0,0,0
photoreceptor cell,0,0.0,0.5,0.0,0,0,0,0,0
pericyte,0,0.0,0.5,0.0,0,0,0,0,0
peridermal cell,0,0.0,0.5,0.0,0,0,0,0,0
perineurial cell,0,0.0,0.5,0.0,0,0,0,0,0
peripheral blood mononuclear cell,0,0.0,0.5,0.0,0,0,0,0,0
peripheral nervous system neuron,0,0.0,0.5,0.0,0,0,0,0,0
periportal region hepatocyte,0,0.0,0.5,0.0,0,0,0,0,0
peritubular capillary endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
peritubular myoid cell,0,0.0,0.5,0.0,0,0,0,0,0
perivascular cell,0,0.0,0.5,0.0,0,0,0,0,0
perivascular macrophage,0,0.0,3.0,0.0,0,0,0,0,0
