cell_type,count,percentage
"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",0,0.0
"CD56-positive, CD161-positive immature natural killer cell, human",0,0.0
"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",0,0.0
L4 intratelencephalic projecting glutamatergic neuron,0,0.0
L5 extratelencephalic projecting glutamatergic cortical neuron,0,0.0
activated type II NK T cell,0,0.0
T-helper 22 cell,0,0.0
P/D1 enteroendocrine cell,0,0.0
PP cell,0,0.0
Purkinje cell,0,0.0
S cone cell,0,0.0
Schwann cell precursor,0,0.0
Sertoli cell,0,0.0
T follicular regulatory cell,0,0.0
T-helper 1 cell,0,0.0
T-helper 17 cell,0,0.0
T-helper 2 cell,0,0.0
TAC3-positive striatal interneuron,0,0.0
ON-bipolar cell,0,0.0
TREM2-positive macrophage,0,0.0
Tc1 cell,0,0.0
VIP GABAergic cortical interneuron,0,0.0
abnormal cell,0,0.0
acinar cell,0,0.0
acinar cell of salivary gland,0,0.0
"activated CD4-positive, alpha-beta T cell",0,0.0
"activated CD4-positive, alpha-beta T cell, human",0,0.0
"activated CD8-positive, alpha-beta T cell",0,0.0
"activated CD8-positive, alpha-beta T cell, human",0,0.0
ON-blue cone bipolar cell,0,0.0
ON retinal ganglion cell,0,0.0
L5 intratelencephalic projecting glutamatergic neuron,0,0.0
MHC-II-positive classical monocyte,0,0.0
L5/6 near-projecting glutamatergic neuron,0,0.0
L5/6 near-projecting glutamatergic neuron of the primary motor cortex,0,0.0
L6 corticothalamic-projecting glutamatergic cortical neuron,0,0.0
L6 intratelencephalic projecting glutamatergic neuron,0,0.0
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,0,0.0
L6b glutamatergic cortical neuron,0,0.0
L6b glutamatergic neuron of the primary motor cortex,0,0.0
Langerhans cell,0,0.0
Leydig cell,0,0.0
M cell of gut,0,0.0
Merkel cell,0,0.0
ON parasol ganglion cell,0,0.0
Mueller cell,0,0.0
"NKp44-negative group 3 innate lymphoid cell, human",0,0.0
"NKp44-positive group 3 innate lymphoid cell, human",0,0.0
"NKp46-positive innate lymphoid cell, human",0,0.0
OFF midget ganglion cell,0,0.0
OFF parasol ganglion cell,0,0.0
OFF retinal ganglion cell,0,0.0
OFF-bipolar cell,0,0.0
OFFx cell,0,0.0
ON midget ganglion cell,0,0.0
corticomedullary thymic epithelial cell,0,0.0
corticothalamic-projecting glutamatergic cortical neuron,0,0.0
cycling T cell,0,0.0
glutamatergic neuron,0,0.0
germinal center T cell,0,0.0
giant bipolar cell,0,0.0
glandular cell of esophagus,0,0.0
glandular secretory epithelial cell,0,0.0
glial cell,0,0.0
glioblast,0,0.0
glioblast (sensu Vertebrata),0,0.0
glomerular capillary endothelial cell,0,0.0
glomerular endothelial cell,0,0.0
glomerular mesangial cell,0,0.0
glycinergic amacrine cell,0,0.0
gastrointestinal tract (lamina propria) macrophage of large intestine,0,0.0
glycinergic neuron,0,0.0
goblet cell,0,0.0
granular cell of epidermis,0,0.0
granule cell,0,0.0
granulosa cell,0,0.0
granzyme K-associated CD8 T cell,0,0.0
group 2 innate lymphoid cell,0,0.0
"group 2 innate lymphoid cell, human",0,0.0
"group 3 innate lymphoid cell, human",0,0.0
gut absorptive cell,0,0.0
germ cell,0,0.0
gastrointestinal tract (lamina propria) macrophage,0,0.0
hair follicular keratinocyte,0,0.0
fibroblast of gingiva,0,0.0
fetal cardiomyocyte,0,0.0
fetal pre-type II pulmonary alveolar epithelial cell,0,0.0
fibro/adipogenic progenitor cell,0,0.0
fibroblast of breast,0,0.0
fibroblast of cardiac tissue,0,0.0
fibroblast of choroid plexus,0,0.0
fibroblast of connective tissue of glandular part of prostate,0,0.0
fibroblast of connective tissue of nonglandular part of prostate,0,0.0
